Source	Target	Interaction
SFRP2	WNT4	-
SH3GLB1	CBL	+
SH3RF1	MAP2K4	+
SH3RF1	MAP2K7	+
SH3RF1	MAP3K10	+
SH3RF1	MAP3K11	+
SH3RF1	MAP3K12	+
SH3RF1	MAPK8	+
SH3RF1	MAPK8IP1	+
SHC3	GRB2	+
SIVA1	BCL2L1	-
SMAD1	DVL1	+
SMAD3	AR	+
SMAD3	CREBBP	+
SMAD3	DAPK1	+
SMAD3	ESR1	+
SMAD3	FOXA1	-
SMAD3	FOXO1	+
SMAD3	GATA3	+
SMAD3	GNRHR	+
SMAD3	JUN	+
SMAD3	LEF1	+
SMAD3	MAX	+
SMAD3	NOTCH1	+
SMAD3	PAX6	-
SMAD5	SMAD4	+
SMAD6	ACVR1	+
SMAD6	BMPR1B	+
SMAD6	MAP3K7	-
SMAD6	PELI1	+
SMAD6	SMAD1	+
SMAD6	SMAD2	+
SMAD6	SMAD3	+
SMAD6	TAB1	+
SMAD7	ACVR1	+
SMAD7	ACVRL1	+
SMAD7	BMPR1A	+
SMAD7	BMPR1B	+
SMAD7	MAP3K1	-
SMAD7	MAP3K7	+
SMAD7	PPP1CA	+
SMAD7	PPP1R15A	+
SMAD7	SMAD1	-
SMAD7	SMAD2	+
SMAD7	SMAD3	+
SMAD7	SMAD4	+
SMAD7	SMURF1	+
SMAD7	SMURF2	+
SMAD7	TGFBR1	+
SMAD9	SMAD4	+
SMURF1	BMPR1A	-
SMURF1	BMPR2	-
SMURF1	DAB2IP	-
SMURF1	RUNX2	+
SMURF1	SMAD1	-
SMURF1	SMAD2	+
SMURF1	SMAD3	+
SMURF1	SMAD6	+
SMURF1	SMAD7	+
SNTA1	NOS1	+
SOCS1	IFNGR1	+
SOCS1	IRAK1	-
SOCS1	JAK2	+
SOCS1	JAK3	-
SP1	ADAM17	+
SP1	BBC3	+
SP1	BIRC5	+
SP1	CCL5	+
SP1	CDKN1A	+
SP1	COL1A1	+
SP1	EZR	+
SP1	GDF15	+
SP1	HDAC4	+
SP1	IER3	+
SP1	IL10	+
SP1	LAT	+
SP1	MDC1	+
SP1	NOS3	+
SPAG9	MAP3K3	+
SPAG9	MAPK11	+
SQSTM1	TRAF6	+
SREBF1	PPARG	+
SSH1	CFL1	+
SSH1	CFL2	-
TAB1	MAP3K7	+
TAB1	MAPK14	+
TAB1	ROR2	-
TAB2	MAP3K7	+
TAB3	IKBKG	+
TAB3	MAP3K7	+
TAB3	TAB2	+
TAF1	BCL2L11	+
TAF1	CDKN1B	+
TAF1	TP53	+
TICAM1	IKBKE	+
TICAM1	IRF3	+
TICAM1	RIPK1	+
TICAM1	TBK1	+
TICAM1	TRAF3	+
TICAM1	TRAF6	+
TLR4	MYD88	+
TLR4	TICAM1	+
TNFAIP3	IKBKE	-
TNFAIP3	TRADD	+
TNFAIP3	TRAF6	-
TNFRSF11A	TRAF2	+
TNFRSF1A	CASP8	+
