Source	Target	Relation
PSMA5	PSMC1	0
INPP5J	SKP2	+
HCK	PIK3R2	+
PRKCD	CAPN1	+
CCL26	CX3CR1	+
PSME1	ANAPC5	+
RAE1	CPSF1	+
MYD88	IRAK1	+
GDNF	DOK6	0
SNX9	WASL	+
PSMA7	PSMB6	0
IDE	ANAPC7	+
NUP43	GEMIN5	+
SUPT4H1	POLR2G	0
IL1A	IRAK2	0
ANAPC2	UBE2E1	+
CDC7	CDK2	+
IKBKG	NFKBIE	+
FGF2	IGF1R	+
WNT1	FZD3	+
ANKRD11	TP53	+
LAMB2	YWHAG	0
BTK	ZAP70	0
MAPK1	PPP1R9B	+
EGFR	FABP1	+
CSF2	FLT1	+
PLK1	CKAP5	0
ANXA2	PLG	+
TUBB2C	CEP250	0
PSMC4	PSMD6	0
NUP98	CPSF1	+
RBBP7	GLI3	-
IFNG	CD74	+
IL4	IL12RB2	-
PPP1CB	CALML5	-
EIF2AK2	TRAF6	+
FLT1	PIK3R1	0
ICAM3	CSF2	-
ZBTB17	HCFC1	-
CXCL11	CCR9	+
ZAP70	PRKACA	+
PTGS2	ANGPT2	+
GNG11	PLCB1	+
NOTCH3	RBPJL	+
SFRS12	SFRS3	+
GRB2	RHOU	+
FURIN	PCSK9	-
WNT3A	PI4K2A	+
CSNK1E	APC	+
NHLRC1	EPM2A	-
CDK1	CDK1	0
IL15	LAMP1	+
MAP3K6	IKBKB	+
GRM1	GNA15	+
ARNT	SERPINE1	+
ODF2	PCNT	0
NUP62	MDM2	+
COL4A4	ITGA3	+
BCL2L1	COX5B	-
HTR2B	GNA11	+
AVP	CRH	+
EIF6	RPS9	+
TRH	NTS	+
PRR5	MTOR	0
EIF2S1	HBA2	0
GTF2B	TAF5	0
RPA1	RPA3	0
PPARGC1A	ESRRA	+
PIAS2	GAB2	0
E2F1	TERT	-
TNF	APOBEC2	+
HSP90AA1	MAP3K1	0
WNT4	FZD6	0
IL2	IL5	+
IL4	CYP2E1	+
RPS25	UBC	0
FGF4	GRB2	0
AR	UBE2I	+
WNT9A	FZD2	+
SILV	ICAM1	+
RPS6KB1	MMP9	+
PSMB11	CDC20	+
IL23A	TNF	+
EFNA2	EPHA7	0
CD9	IGSF8	+
HMOX1	RBP3	+
COL5A1	ITGA1	+
STAT5B	SOCS4	+
HLA-G	KIR2DS1	+
KDR	PTPN11	+
RPL4	RPL10	0
ADIPOQ	ADIPOR2	+
RPTOR	EIF3B	+
GAB2	PIK3R3	+
RAD23B	PSMD5	0
CCL1	CCR7	+
LRIG1	ERBB4	+
CNR1	CACNG3	+
P2RX7	CREB1	+
CDC42BPA	MYBPC3	+
FGF18	FGFR3	+
RHO	RP1	+
SYK	MAPK11	+
SLC10A2	FABP6	+
C3orf10	C3orf10	0
CLDN19	CLDN9	0
PPP3CA	ITCH	+
SMURF1	TGFBR2	0
FGF1	JUN	+
POLE	POLE	+
SOS1	MTG1	+
DDR1	SOX10	+
CCL1	CXCR1	+
MYC	MINA	+
HSPB1	FASLG	-
RGS1	CD3G	-
CLDN23	CLDN19	0
CBL	GRB2	+
COL5A1	ITGA3	+
PSMB5	PAAF1	0
CXCL12	PRKAR1B	0
NOTCH1	PSEN2	0
PRKCE	MET	-
EIF1AX	RPS15	+
SUFU	SAP30	0
CACNA1G	CACNA1E	0
IL6	TLR2	+
SNCA	PSMD12	-
ARRB1	ARRB1	+
FGF8	PIK3R1	+
MAPK3	PLA2G4B	+
DYRK2	CSDC2	+
RPL39	RPS12	0
CRP	ITGAM	+
TGIF1	SMAD2	-
PSMB4	ANAPC7	+
BCAP31	BCL2L1	+
FGF18	IGF1R	+
SOCS1	LCK	-
ADRBK2	CXCR6	+
DVL3	PI4K2A	+
RPL21	RPL24	0
APH1A	NOTCH1	+
ACTG1	VASP	0
LAMC1	SV2C	+
ZSCAN1	MZF1	-
POLR2J	INTS3	0
PLAT	PLG	+
LAMA5	ITGA2B	+
EGF	LAMA3	+
ABHD5	PNPLA2	+
ITGA2B	ITGB7	0
ITGB4	PXN	0
SOCS3	IL20RB	-
PRKCE	CABIN1	+
NOX1	NCF4	0
MAP3K7	BCL10	0
EDN1	PTK2B	+
ARF6	CLTC	+
GNGT1	P2RY2	0
ILK	FOS	+
PTK2B	ARAP1	+
SMAD4	CTNNB1	0
PRKCD	MARCKSL1	-
GNG2	PIK3R2	+
TNF	AD5	+
UTS2	EGFR	+
HBA1	RPS14	0
PRKCD	STAT1	+
POLR2B	POLR2L	0
CREB1	CCND1	+
LCK	VDR	+
RAD23B	PSMB6	0
GTF2H1	RPA1	+
LCK	TRPV6	+
SMO	PTCH2	0
IQGAP1	ACTB	+
POU1F1	REN	+
PAAF1	PSMB9	0
PDK1	AKT1	+
CXCL9	CCR5	+
PPP1R12A	MYL3	+
ITGA3	CALR	0
SMAD5	ATF2	+
TBP	TAF4	0
GNA13	ARHGEF12	+
AAAS	GCKR	+
DBF4B	CDC7	+
ATM	TAOK1	+
TSGA14	TUBB	0
SNX1	HAT1	0
IRF8	PTPN13	-
SRC	MAPK8IP3	+
COL11A2	ITGA5	+
NFKB1	FIGF	+
CDK5	SMAD4	+
CSF2	PIK3CG	+
PGAM1	PAK1	-
IL4	IFNG	-
PPP2R1A	PRKAR2B	0
U2AF2	SNRPB2	+
PRKCA	KCNIP2	+
TNF	PDCD6IP	+
PAK4	CBL	+
EP300	E2F1	+
LTA	TNFRSF1B	+
MAPK13	ELK4	+
MYST2	SMAD2	+
IL17A	IL6	+
FZD2	UBE3A	0
RAD17	RFC3	0
UBB	RPS14	0
MSN	PRKCA	0
EGFR	PLEC	0
CDKL5	EIF4A3	+
ID2	ID3	0
CBLB	ERBB4	-
WNT9B	FZD4	+
GLI3	WNT2B	+
CREB1	IRS2	+
EIF2S3	EIF3A	0
TYK2	IL6	+
POMP	CDC20	+
SH3KBP1	CITED1	0
MYH4	MYH6	0
ZBP1	TBK1	+
TNF	IER3	+
PRMT5	SMN1	+
CSNK1G1	NFATC1	-
EIF2AK2	EIF2A	-
PSMD11	PSMD8	0
RPS15A	RPS23	0
PRKACA	ALMS1	0
GSK3B	CREB1	-
PRKAR2B	LPAR3	+
GNAT1	PDE6A	+
IL10	PTGS2	-
CREBBP	NCOA2	+
CEP63	CETN2	0
WWP1	FLT1	-
RPL30	RPL34	0
YBX1	TGFB1	-
JUN	HLA-A	-
PSMD1	UBXN1	0
STAT6	ALOX15	+
UBQLN1	PSMD10	0
LAMC3	LAMB4	0
DIABLO	TRAF2	0
IGF1	PIK3CA	+
HDAC6	HDAC9	0
MAPK3	RPS6KA3	+
PSMC5	PSMD2	0
POLR2B	SMAD3	-
AKT2	MTOR	+
COL18A1	GPC1	+
CDK5RAP2	PPP2R1A	0
CD44	NOS2	+
ARPC2	ACTG1	0
CLK2	MDM4	+
PTPN11	KITLG	-
GEMIN6	SMN1	0
RNF41	ERBB4	-
COL4A1	ITGA8	+
BRAF	MAP4K1	+
STK17A	SMPX	+
DVL1	RHOA	+
CASP6	EIF4G1	+
PRKCA	LAMA2	+
RAC3	PAK1	+
RMI1	BLM	+
RPS16	RPS7	0
SH3BP5	CD79B	-
ITGB3	CASP8	0
FLT4	PRKCE	+
TNF	MAP3K1	+
MCM7	RFC3	+
GLI2	WNT6	+
TEK	MAPK8	+
CAPN1	ACTN2	0
CSE	PPARG	+
CACNA1S	CACNG2	0
RPL11	RPLP2	0
SYK	LAX1	+
PPARD	RXRA	0
DFFA	TNFRSF1A	0
ITK	VAV3	+
SRPK2	ASAP2	+
SEC23A	SAR1B	+
GRB2	CCND3	+
IL2RG	TNFRSF9	+
PTPN1	TYK2	-
RPS14	RPS26	0
EFNA1	EPHA4	0
IL6R	IL6	0
CREBBP	VDR	+
CTDP1	POLR2I	0
RPS18	RPS27A	0
HBA2	RPL19	0
THBS4	SDC4	+
SH2B1	JAK2	-
HBA1	RPL39	0
EMD	MAPK3	+
PPP3CA	PPP1R1B	-
PTK2B	ASAP3	+
SOCS5	OSMR	-
PPP1CA	PHKA1	-
EFNB3	KRAS	-
TNF	PRL	+
ESR2	C3	-
PSME4	CDC16	+
CD79A	PLCG1	+
CSNK1E	CKAP5	0
KAT2A	SMAD3	+
AR	CCNE1	0
MYL3	SHROOM4	0
CALM2	PYGM	+
RBL1	MYBL2	-
TUBB2C	CEP290	0
PLD1	PPAP2C	+
NUP62	NUP153	0
PRKACB	GSK3B	+
HLA-B	KIR2DL3	+
FLNA	INPPL1	0
LCK	SMPD1	-
STAT5A	CCNE1	+
IL1A	MAP3K7IP1	+
AR	GNG2	+
UBE3A	SNCA	-
POLE2	RPA3	+
EDNRA	GNA15	0
PRKAR2B	GNB1	+
KLK1	PLAT	+
CDK5	SYN1	0
EHD1	RAB11FIP1	0
IL4	JUN	+
TNFSF13B	TNFRSF13B	+
TSC1	RORC	-
MDM2	ARHGAP24	+
SUPT7L	TERT	+
NUP210	SNRPE	+
PIK3R5	ILK	0
FGF13	ATF4	+
SRPRB	SRP14	+
HCK	SYK	0
CLDN23	CLDN17	0
CALM1	MARCKS	-
MALT1	IKBKB	+
SNRNP70	SNRPD2	0
ITGB8	CSK	+
PSMA1	PSMA4	0
PPM1A	CACNG7	0
EIF5	EIF3J	+
EDNRA	ADCY8	+
ENG	SMAD5	+
CDK5	MDFI	+
ITCH	TGFB1	-
RXRA	LPL	+
PSME2	PSMB5	0
MRPS7	RPL3	0
PSMB7	PSMA4	0
BMP2	ACVR1	+
IRF1	PSMB10	+
PIK3R2	CD40	0
GLMN	RPS6KB1	+
TGFBR1	CD44	+
PDGFD	FGR	+
LAT2	PLA2G4A	-
PSMA2	PSMD4	0
YKT6	COP	+
RPS13	RPS19	0
PXN	RHOA	+
AKT1	RPS20	+
TRIM27	RB1	-
JAK2	IL23R	+
TGFB1	RPS6KB1	-
RPL31	RPS26	0
TNF	SLC9A8	-
RPL8	RPL23A	0
LAMB3	CD44	+
EGFR	JAK1	+
HGF	PIK3R1	+
PSMD5	BTRC	+
RPL39L	RPSA	0
GRB10	FYN	0
PTK2B	FGF17	0
PSMD11	PSMA6	0
XCR1	JAK3	+
AVPR1B	GNA15	+
CREBBP	ALX1	+
BLK	DAPP1	+
IFNG	HGF	-
NFKB2	RPL30	0
PPARA	NPHS1	+
PSMD11	FZR1	+
CASP2	MAP3K14	+
CTSH	SFTPB	+
WNT5B	FZD9	+
HSPBP1	HSPA1A	-
ATP6V1B1	FZD8	+
PPM1A	AXIN1	-
CCNB2	CDK1	0
ANAPC10	CCNB1	-
PSME2	CKS1B	+
PRKCE	TBXA2R	-
GH1	REN	+
TJP3	CLDN10	0
CITED2	ACOX1	+
MTOR	PIK3R2	0
UBE2E1	CDC23	0
JAK3	PIK3R5	+
TPR	CPSF3	+
EDNRB	PLCB2	0
COL4A6	ITGB5	+
PLXND1	PIP5K1B	+
ITGB5	ACTN1	0
RPS8	EIF3A	0
PAK1	TRIO	+
RPS6KB1	RPS29	+
CBL	VAV1	0
TSLP	CD40LG	+
MAPK3	PLA2G2E	+
FYN	TUBA1A	0
PIKFYVE	SCIN	-
PDGFD	STAT3	+
BUB1	MDM2	+
PRKCB	MRAS	+
ATF2	CSRP2	+
CLDN14	CLDN22	0
RPS15A	RPS16	0
PSMB6	RBX1	+
CD247	IL2RA	+
WNT2	FZD6	+
RNF41	FGFR4	-
CEP78	TUBB4	0
TUBG1	CEP290	0
ITGA1	RAC1	+
YWHAQ	CBL	0
TRIM28	NR3C1	+
MTG1	PLCL1	+
EIF1	RPS11	+
IL12B	RELA	+
SHC1	MAPK9	+
NEK2	CEP70	0
GDNF	PIK3CA	+
NQO1	NFKB1	+
MYH8	MYL6B	0
VEGFC	PDGFRA	+
HAS2	CD44	+
DVL1	SMAD4	0
ROCK2	MYL3	+
UBE3C	PSMB9	0
GUCY2D	GUCA1C	0
JDP2	ATF2	0
SQSTM1	NGF	0
PTPN7	MAPK13	-
CXCL12	XCR1	+
MAPK3	CDK9	+
MET	UBE2L3	+
NF1	GTF2A1	+
COL2A1	ITGB3	+
RBL2	MXI1	-
SHC1	TEC	0
FPR1	MAPK3	+
PDPK1	NOC2L	+
PRKCB	SELE	+
VEGFA	SHC3	+
CACNA1S	CACNA1G	0
IDO1	CD274	+
EPHB3	ROCK1	+
PRKACA	RET	+
AR	NR2C2	0
ARHGEF7	NFKBIA	+
EDA	EDAR	+
PROX1	SOX2	+
CCR3	PPP1R14A	0
EGFR	PIK3R1	0
SOCS4	IL10RA	-
PTEN	AKT3	-
IRS1	ALK	+
BCAR3	RAC1	+
MAP3K1	MAPK11	+
PRKCE	PAK2	+
PSMB10	PSMD11	0
GNAZ	CD3G	-
EPO	KIT	0
RPS27	RPS24	0
CDKL5	MDFI	+
PLK1	CEP152	0
CXorf15	MMP9	-
ATR	FANCL	+
INS	PPP1CC	+
PSMD11	SKP1	+
IL5	IL2	+
APC	TBL1Y	0
WAS	CNR1	+
RALGDS	RALA	+
BANP	CCND1	-
SMAD2	FOXH1	0
RPL10L	RPS23	0
MAPK6	PDLIM5	+
PCM1	AKAP9	0
SMARCD1	SGK1	+
RPL10L	RPL36	0
JUP	PPARD	+
SPRY1	CBL	-
ADRB2	PRKAR2A	0
NUP210	MAGOH	+
CEBPB	MYC	0
PSMB5	SNCA	-
GNAI1	SHC1	+
CCR3	EDN1	0
XAB2	ERCC8	0
CCL22	CCR1	+
RPS16	RPS15A	0
CSNK2A1	RNF7	+
WNT2B	FZD4	+
PTPN6	EPO	-
CHRD	NKX2-5	-
IGF1R	CTNNB1	-
S100A9	IFNG	-
SOCS5	CSF2RB	-
CNTN1	NFASC	0
MAP2K1	RAF1	0
RPS27	RPS3A	0
EFNB2	NCK1	0
PPP1R3C	GYS1	+
PTH	CREM	+
SLAMF1	SH2D1B	0
PPP3CB	ANAPC2	+
CCK	ODC1	+
PTK2B	UBB	+
LOC646048	ACTN1	0
IDE	CDC16	+
CHRM4	GNAI3	+
CDC14A	ANAPC7	-
ITGAE	CRKL	+
PTK2B	PI4KA	0
TP63	BBC3	+
IL8	LPAR2	+
PIK3CA	VAV1	+
F2	F2RL3	+
RBX1	SMAD2	-
CXCL14	CCR8	+
KIF3A	GLI2	+
PPP2R5C	CREB1	-
ITGA7	TLN1	0
CACNG2	RASGRP4	0
F2R	ANGPT2	+
CUL1	CDK2	-
LEFTY1	TGFB2	-
TUBG1	CEP70	0
PSMD6	POMP	0
PEBP1	CDCA8	+
CEP110	CKAP5	0
SRC	STAT3	+
PF4V1	CCR10	+
PPP3R1	CALM3	0
RAE1	NUP88	0
CD40	IFNG	+
RXRG	SCD5	+
ITGA6	YWHAE	0
CASP3	KRT18	+
GNG12	PIK3CB	+
HGF	VEGFA	+
CD79B	PTEN	+
CDK4	CSDE1	+
TDGF1	MAPK1	+
FANCE	C17orf70	+
VEGFA	PDGFB	+
MDM2	TERC	-
PSMC5	PSMD5	0
TP73	BCL2L11	+
CDK9	GRIP1	0
RPL10	RPL26	0
KITLG	CASP3	+
HGF	PLCG1	+
TCF7L2	TCF7	+
TRA@	B2M	0
TEK	SHC1	0
MARCH2	DLG1	+
RPL19	RPS19	0
RPL29	RPS9	0
MAX	GAPDH	+
OSM	STAT1	+
FLT4	PIK3R5	+
PPP1R3A	CALM3	-
RPLP2	RPS15	0
FYN	HLA-DRA	0
ADIPOQ	IL8	+
GRIA1	PICK1	0
SP1	CHRNA1	+
IGFBP7	INS	-
GRB2	IL2RB	0
EDN1	MAPK3	+
PDCD4	EIF4G1	-
CACNB3	CACNG1	0
CAV1	TFPI	+
FES	IL2RG	0
PSMD1	FZR1	+
CXCR4	CDC42	+
MAP3K3	NFKBIA	+
CCNA2	E2F2	+
UBQLN1	POMP	0
PSMA2	PSMA5	0
KDR	CDC42	+
RANBP2	NUP155	0
SYN1	GNAZ	-
HCK	PDGFRB	+
P2RX1	RYR1	0
CEP63	CEP70	0
ARHGEF7	RAC1	+
THBS2	ITGA7	+
SEH1L	SNRPD3	+
RALB	RALBP1	+
SIN3A	HDAC2	0
WNK1	PPP2R5D	+
MTDH	SLC1A2	-
FBXO6	CUL1	0
RPS25	RPS28	0
CEP110	SSNA1	0
INTS3	NRIP1	0
MAP3K5	TRAF6	0
CDK5	TP53	+
ITGB6	ITGA8	0
ESR1	GNAL	+
FGFR4	SPP1	+
MLST8	EIF3C	+
FRS3	SOS1	0
HOXA7	JUN	-
PPP1CB	PLK1	-
NUP153	SNRPD2	+
CDC26	UBE2S	0
RPS6KB1	RPS12	+
ITGB7	PRKCG	0
PLCG2	PLA2G12A	+
KDR	PIK3CG	+
CASP2	MAP3K5	0
SDC2	PRKACA	+
KITLG	GRB2	+
PPP3CA	CACNA1C	-
IGF1	PLXNA3	-
PYCARD	TNFSF10	+
RPL24	RPS16	0
RASGRP3	MRAS	+
IBSP	ITGB1	+
NUP155	GEMIN5	+
IRAK2	MYD88	0
GRB2	RAPGEF1	0
TRAF3	TNFRSF13C	-
CSF2	CCR1	+
WEE1	ZYX	+
CITED2	CPT1A	+
PSMB11	PSMB1	0
PRKAA2	EIF4A3	+
TNF	MAP4K3	+
CACNG2	CACNA1F	0
GNB2L1	FYN	0
MYC	PIAS2	-
PSMD8	PAAF1	0
LAMB1	ITGB6	+
INSR	STAT5B	0
BMP10	ACVR2A	+
PAK1	ASAP3	+
PARVB	ACTB	0
SMAD2	MEF2A	0
IGHE	VAV1	+
ARFGEF1	ARF1	+
CXCL1	CXCR6	+
GNG10	PIK3CA	+
GHSR	GH1	+
NGF	SHC2	+
ARFIP1	ARF1	-
TANK	MAP3K14	+
SMAD4	POLR2A	+
RPL35	RPS3	0
LAMA2	YWHAG	0
POLE2	RFC2	+
NTRK1	PLCG1	0
FGF3	SPP1	+
PTPN2	IL6	-
DCTN3	TUBB4	0
HLA-G	KIR3DL2	+
PRKCZ	NASP	+
STAT2	SOCS1	+
DAB2	DVL3	0
ADRM1	SNCA	-
CAST	ITGB1	-
HLA-A	CD28	-
RIPK3	PLG	+
DUSP1	MAPK11	-
RPS6KA1	MYT1	-
ARHGAP10	RPS3	+
PSMA7	UCHL5	0
ETS2	CSF1R	+
POLR2E	GTF2H1	0
CCL19	CXCR5	+
PSMC2	UBE3C	0
USP14	CXCR4	+
WNT7B	FZD2	+
FHL2	ITGB5	0
PPP1CC	MYL9	-
MX1	HBXIP	-
APH1A	DLL1	+
VRK1	JUN	+
CARM1	DNAH8	+
CDK1	PRKACA	0
GAB2	SGMS1	+
CBLC	JAK2	-
CD79A	LYN	0
YBX1	PROCR	+
TCF7	JUN	+
CLK2	EIF2B5	+
HCK	IL6	0
PRKCQ	IGSF5	+
NCKAP1	ARPC3	+
UBE2C	ANAPC11	0
APC2	CTNNB1	0
AURKB	CTTN	+
PHKA1	CALM2	0
IFNA2	IFNAR1	0
SRC	NGEF	+
MEF2A	JUN	+
RXRA	DBI	+
TNFRSF1A	TNFRSF1B	+
SMAD4	TCF7	+
NCL	MDM2	-
RASGRF1	CACNA1F	0
PPARG	PPARG	0
PSMA4	PSMC1	0
NUP43	SLBP	+
F2RL2	F2RL3	+
BNIP3	BCL2L1	-
CTNNB1	PSEN1	0
ZAP70	CD247	0
PRKCE	PLCG1	+
DVL3	NOTCH4	-
SFRP4	WNT10A	-
ITGA2	CRK	+
ROCK1	MYL12A	+
ANAPC4	UBE2E1	+
PDGFRA	PIK3R1	+
SOCS5	IL6ST	-
RAC2	PIP4K2B	+
PSMB8	SNCA	-
MAX	BMI1	+
PSMB7	PSMD8	0
UBXN1	CKS1B	+
RPS6KB1	TSC2	+
RAB4A	RUFY1	0
TNF	FBLN1	-
GRB10	PTPN6	0
TNS1	VCL	0
WWP1	FGFR3	-
HLA-DOA	CD4	+
TGFB1	ASPN	+
RPL10L	RPLP1	0
VWF	THBS1	-
DBF4	DBF4	0
NCOA3	CCND1	+
TNF	CASP3	+
PPP3R1	ANAPC5	+
PGR	PIK3CB	+
EPHA8	PIK3R5	+
DLG4	GRB2	+
NUPL2	UPF3B	+
CISH	GHR	-
PRKAR1A	MAPK3	-
IL1RAP	RELA	+
RBX1	UBB	+
NOS2	IL12A	+
SOCS4	IL2RG	-
KLF6	IGF1R	+
CARM1	RARA	0
RASGRF2	CACNA2D1	0
WEE1	HNRNPK	+
FGFR4	FGF23	0
HSPA8	MAPK8	-
MAP3K2	MAP2K5	+
SMAD7	SMAD9	-
ITGA11	TLN2	0
FGF12	SOS1	0
HIPK4	CCM2	+
BCR	DOK1	+
TGFB1	SLC2A1	+
GCK	MAP3K1	+
STAT1	MYC	+
DLL3	NOTCH4	+
CSNK2A1	SNCA	+
TFDP2	CES1	+
CD40LG	IL2	-
BUB1B	ANAPC1	-
ERCC5	RPA2	+
PSMB5	RBX1	+
IDE	PSMD13	0
EXOC6B	HSPB1	0
PIAS1	STAT5B	-
PBX1	BMI1	+
CDC6	ATM	+
MACROD1	FZD1	+
MET	CTTN	+
VIP	PTGS2	+
ITGAL	VAV3	+
C8B	C9	+
ERCC3	XPC	+
PSMB3	ANAPC5	+
NCBP1	RPS18	0
ATP2B4	CD22	0
CDC42	MAPK12	+
IFNG	HSPB2	-
PSMF1	PSMD5	0
CACNA1A	CACNG6	0
IL18	CD9	-
ABL1	BCR	+
CD8A	SFRS1	-
CSK	PIK3CA	+
PPP2R5E	AXIN2	0
IL7	MUC1	+
PIK3CG	MAPK3	+
ADRA1A	GNA14	+
ADCY1	PRKX	+
EGFR	SH3GL2	0
MAPK8	PPARA	+
EZR	PPP1R14A	0
BMX	HLCS	+
UBQLN1	PSMB2	0
MAPK1	GRB2	+
CREBBP	SRA1	+
LAMB3	YWHAZ	0
GABRA4	GABRA6	0
PTK2B	KCNA2	-
ELK3	ID2	0
PIN1	BRAF	+
STAT3	PIM2	+
PIP5K1B	WAS	+
PIM2	PAXBP1	+
CD44	NANOG	+
ARAF	EPHB2	+
NFATC2	PTPRK	+
INSR	PTPN6	+
ICOS	PIK3CG	+
ITGA2	PARVG	0
TRIM28	TFDP1	+
ARRB1	F2RL1	-
FLT3	PIK3CD	+
CACNA1G	CACNB3	0
DDR1	MBNL3	+
AP2A2	EGF	+
ABL1	CDK5	+
RXRG	NR4A1	0
FGFR1OP	TUBB4	0
CHRM2	GNA15	+
PGF	FLT1	+
RIPK2	MAPK8	+
RPL39	RPS4X	0
PSMA7	PSMD10	0
RELA	ME1	-
CD3E	SHC3	+
WHSC2	POLR2G	0
ATF2	TGFB2	+
LY96	IKBKB	+
IKBKB	TNFAIP3	0
RPS9	RPS10	0
WNT5A	GNG2	+
HLA-DPA1	CD4	+
PSMA3	UBXN1	0
IDE	PSMD12	0
GNL3	TP53	+
IL2RA	KRAS	+
PAK6	TRIM24	+
CHEK2	RASGRF1	-
GNA11	PIK3CA	+
GRB2	GRB2	+
MAML3	KAT2B	0
LOC100291837	RPS26	0
GLP1R	TH	+
AREG	MMP9	+
CCM2	MAPK14	+
RPL10L	RPL10	0
IL23A	IL1B	+
TGFBR2	PPP2R1B	+
TNF	CHUK	+
CDK4	MDM4	+
LCK	EPHA1	-
FANCM	FANCC	+
CACNA1B	CACNA1H	0
RHEB	BRAF	-
LOC100291837	RPSA	0
MAP3K1	MAPK8	+
TAF11	GTF2A1	0
PAX2	DEFB1	-
MAPK1	YWHAH	-
COL4A2	ITGA1	+
WNT10B	FZD4	+
CEBPB	PRTN3	+
FTL	LOC100291837	0
CCR5	ADRBK1	0
KAT5	GPAM	+
FAS	MAP2K4	+
ANAPC7	ANAPC10	+
PRKCA	RRAS2	+
GHR	JAK3	+
CIITA	TAF1	+
KNG1	NOS3	-
RPS16	RPS29	0
COL6A3	ITGA5	+
PRKCA	YWHAB	+
MBD3	SNAI3	-
IFNAR1	JAK1	+
ZAP70	CRK	0
INSRR	PIK3CD	+
SKIL	TGFB1	+
PRKACG	CREBBP	+
DLG4	DLGAP1	0
PRKCA	SDC2	+
CAV1	ACVRL1	0
PRKCZ	CHUK	+
RASA2	NRAS	-
FURIN	SOD3	+
RYR1	CACNA1E	0
HBA2	RPL37	0
RPS10	RPS9	0
ITGA3	ITGB1	0
RPS21	RPS18	0
SPRED1	RBM39	-
SQSTM1	IKBKB	+
CD86	HLA-DRA	-
CLDN7	CLDN1	0
CBLB	PIK3R3	+
PSMB7	UBXN1	0
RASGRF2	CACNA1C	0
STX1A	CACNG3	-
PRSS2	F2RL1	+
PIK3R1	AKT1	+
SHC2	IL2	0
PSMD12	CDC23	+
E2F4	RB1	0
CASP10	MAP2K4	+
CEP250	HAUS2	0
CAMK2B	CDC25C	-
POLD4	POLD3	+
MAX	TMEFF2	-
TEK	DOK7	0
ANAPC11	PTTG2	-
CBLC	IGF1R	-
MAP3K3	JUN	+
CLK1	HSFY1	+
RELN	DAB1	+
RPS16	RPS14	0
PRKD1	PTRH2	+
CCNE1	DDAH2	+
DUSP14	MAPK11	-
IL7R	PIK3R1	+
FGF1	IGF1R	+
ITGB3BP	ITGB8	0
STRAP	MAP3K7IP1	+
EGF	TGFA	-
PRKCA	FLNA	+
PSMB10	PSMC4	0
COBRA1	SUPT4H1	0
CASP8	TRAF1	+
SOCS3	NCK1	0
PIK3CA	RELA	+
UBB	UBA52	0
GABRA1	GABRA3	0
TRIP12	PSMD13	0
SPATA13	APC	0
CITED1	PIAS2	0
PLCD3	ITPR2	0
LAMA3	CDC42	+
CHUK	NFKB1	+
IDE	CDC27	+
RHO	GTPBP1	+
DCTN1	KLC1	-
MAPK3	PLA2G4E	+
RPL31	RPS10	0
IL17A	DEFB4	+
PPARD	UCP1	+
HDAC1	SMAD7	0
PRKD1	KIDINS220	+
GAB2	PIK3CB	+
MAPK11	EIF4E	+
PBX1	STMN1	+
TP53BP1	E2F4	-
NR0B1	CYP19A1	-
BARD1	TP53	0
RASA1	ARF1	-
RPS6KB1	RPS8	+
SMC4	NCAPD3	0
PLD1	ACHE	+
SNCA	HSPB1	-
XCL2	CCR7	+
FOXA2	HPGD	+
CCNA2	ABL1	+
RPL23A	RPS14	0
HIST2H3C	HIST2H2AC	0
CCND1	RB1	-
ILK	ITGB3	0
F2R	PAWR	0
PRKG2	PLN	-
PTK2	IL6	+
CBL	SH3KBP1	+
GNG10	PLCB4	+
TGFB3	ZFYVE9	0
PRKCA	PLCZ1	0
HSPB1	PSMA1	0
KAT5	NOTCH3	0
IL12B	IL12RB1	0
PYDC1	PYCARD	-
TEK	MYEOV2	-
VEGFC	PIK3CA	+
NTF3	KIDINS220	+
FRS2	SHC3	0
PDE6G	CNGA1	-
UBQLN1	IDE	0
ADRM1	HSPB1	0
ZFAND5	TNF	-
FOXM1	CENPF	+
RELA	TRAF6	+
CTNNA1	JUP	0
EIF3B	EIF3L	0
IL2	IL3	+
LITAF	FASLG	+
RASGRP3	CACNA1C	0
AKR1C2	ID2	0
RRAS	PIK3CG	+
CAPN2	ITGB8	-
YWHAE	NEDD1	0
AP1S2	PIK3CB	+
NTN3	NEO1	+
PTPN12	SHC1	0
IL4R	TYK2	+
DYNLL1	PAFAH1B1	0
MYL9	MYH8	0
CRP	BSG	+
KDELR3	ARF1	0
CDK5R1	LMTK2	-
ITGB8	FERMT1	0
HTR2A	GNA11	+
C3	C5	+
NANOG	STAT3	+
CASP3	TERT	+
PSMA4	CDC23	+
GNAI3	RHOA	+
MAP2K1	YWHAG	0
CAMK2A	USP6NL	0
EIF1	RPS5	+
PSME2	PSMC1	0
PSMB1	PSMD5	0
CKAP5	OFD1	0
PLK3	MTA1	+
CSF2RB	IL5RA	0
HCST	GRB2	+
ITCH	IGF1R	-
EIF4G2	PTBP1	0
TRAK2	KCNJ2	+
RAP2A	MAP4K4	+
JAK2	STAT5B	+
CCL1	CXCR4	+
PIK3CA	SHC3	0
TIMELESS	ATR	0
GNB1	GBF1	+
PRKACG	CREB3L4	+
RPL21	RPLP0	0
